setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
10D,all,kcenter,64,64.0,0.9987912647754107,0.9814611120248198,0.9563636363636364,1.0,1.0,0.0,0.010670028810533371,0.04951458424329758,0.07308720931495455,True
10D,all,kcenter_mean2,8,7.881818181818182,0.9823811109434502,0.7013023140458415,0.8918181818181817,1.0,1.0,0.0,0.13560753614768725,0.22403112053871155,0.3089454831724817,False
10D,all,kcenter_mean2,16,15.476818181818182,0.9917954740014726,0.8516235003331876,0.9136363636363637,1.0,1.0,0.0,0.07266201180649329,0.12138301134109497,0.21766264340416952,True
10D,all,kcenter_mean2,32,30.388636363636362,0.996789815911124,0.9378587240557891,0.9359090909090909,1.0,1.0,0.0,0.03443061027512819,0.08192701637744904,0.13878725558858027,True
10D,all,kcenter_mean2,64,57.575,0.9987307471843488,0.9770161655288326,0.9668181818181818,1.0,1.0,0.0,0.012186462512706633,0.057764939963817596,0.08617861267517914,True
dimy16,early,uniform,8,8.0,1.0,-1.0,0.83625,0.9833076171345841,0.9673356005802883,0.009884599270299077,0.5954691439867019,0.6268841028213501,4.1126999270170925,True
dimy16,early,uniform,16,16.0,1.0,-1.0,0.8699999999999999,0.9922770650569089,0.9835001755968846,0.004789284613798373,0.44831283688545226,0.5479719042778015,3.3296775564551355,True
dimy16,early,uniform,32,32.0,1.0,1.0,0.9099999999999999,0.9966175523733172,0.9930074853313636,0.0019827407886623405,0.2709540456533432,0.3079802393913269,2.261917155608535,True
dimy16,early,uniform,64,64.0,1.0,1.0,0.95375,0.9988945349700418,0.9977749204888725,0.0006368785492668394,0.16586907505989074,0.19745245575904846,1.2715305455029011,True
dimy16,early,importance,8,7.7625,1.0,-1.0,0.8300000000000001,0.9830207228983702,0.9650445730012713,0.010476128233131021,0.5472919315099716,0.6987346410751343,4.812689390406012,True
dimy16,early,importance,16,15.063749999999999,1.0,-1.0,0.8862500000000001,0.9912421172316156,0.9831435437745543,0.005066554591758176,0.44775414317846296,0.4949844777584076,3.0977717388421295,True
dimy16,early,importance,32,28.4575,1.0,-1.0,0.89625,0.9955666217199693,0.9917315784858818,0.0023254375526448713,0.36390923112630846,0.3887839913368225,3.0182238141074778,True
dimy16,early,importance,64,50.34875,1.0,1.0,0.925,0.997743331980573,0.9956222494133817,0.001237092528026551,0.23922166377305984,0.26089876890182495,2.0540304694324734,True
dimy16,early,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,4.433597844410997e-08,True
dimy16,early,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,4.433597844410997e-08,True
dimy16,early,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,4.433597844410997e-08,True
dimy16,early,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,4.433597844410997e-08,True
dimy16,early,kcenter_mean2,8,7.815,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,4.433597844410997e-08,True
dimy16,early,kcenter_mean2,16,15.65625,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,4.433597844410997e-08,True
dimy16,early,kcenter_mean2,32,30.7625,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,4.433597844410997e-08,True
dimy16,early,kcenter_mean2,64,57.82625,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,4.433597844410997e-08,True
dimy16,mid,uniform,8,8.0,1.0,-1.0,0.7725,0.9839780037358112,0.9613222241956931,0.009801415156107395,0.7183903768658638,0.9632798433303833,16.17237762361765,True
dimy16,mid,uniform,16,16.0,1.0,-1.0,0.8074999999999999,0.9923739890047593,0.9817986961207199,0.0044769533269573,0.6249162763357162,0.8177609443664551,10.472807364538312,True
dimy16,mid,uniform,32,32.0,1.0,-1.0,0.8699999999999999,0.9967989229001194,0.9925017513795575,0.002021783984673675,0.47525578886270525,0.5119057893753052,7.329343321919441,True
dimy16,mid,uniform,64,64.0,1.0,1.0,0.91625,0.9988651085028991,0.9974803491872037,0.0005936458786891307,0.29978430867195127,0.3770337402820587,5.407707485649735,True
dimy16,mid,importance,8,7.782500000000001,1.0,-1.0,0.73125,0.9824746448710435,0.9627403308649021,0.009420564013998956,0.8038341730833054,1.2224143743515015,17.571180164068938,True
dimy16,mid,importance,16,15.055000000000001,1.0,-1.0,0.79,0.9910317875147102,0.9807510316644628,0.004752654244657606,0.6807777002453804,0.7785902619361877,8.739240123331546,True
dimy16,mid,importance,32,28.26125,1.0,-1.0,0.83625,0.9955144239657601,0.9901270115300689,0.0023437662690412252,0.5402950257062912,0.5795363187789917,8.673286863416433,True
dimy16,mid,importance,64,50.23625,1.0,-1.0,0.86875,0.9977812047850882,0.9953489121485812,0.0011351429362548514,0.43013312071561816,0.5104128122329712,8.382153522223234,True
dimy16,mid,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,1.987474895770447e-08,True
dimy16,mid,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,1.987474895770447e-08,True
dimy16,mid,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,1.987474895770447e-08,True
dimy16,mid,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,1.987474895770447e-08,True
