setting,n,candidate,score,success,diverged,cm_samples,diff_samples,seconds_per_run,peak_mem_mb,comparator,diff_vs_comparator,diff_vs_comparator_p,diff_vs_baseline,diff_vs_baseline_p
5D,8,backsel_uni_k4,0.6956990276354931,0.0,0,1188,396,0.6621095452002919,787.18359375,baseline,-0.17865837682215377,0.0028998550072496373,-0.17865837682215377,0.0028998550072496373
5D,8,backsel_is_k2,0.7014313776737293,0.0,1,975.05,183.05,0.6726810765248956,787.3984375,baseline,-0.18439072686039004,0.00519974001299935,-0.18439072686039004,0.00519974001299935
5D,8,backsel_is_k4,0.6029995014090838,0.0,0,1110.725,318.725,0.6411697744249978,788.984375,baseline,-0.08595885059574453,0.08114594270286486,-0.08595885059574453,0.08114594270286486
5D,8,backsel_clust_k2,0.7809595304351344,0.0,0,990,198,0.7486907858750783,792.2265625,baseline,-0.26391887962179517,4.999750012499375e-05,-0.26391887962179517,4.999750012499375e-05
5D,8,backsel_clust_k4,0.5948884254686936,0.0,0,1188,396,0.6859150275267893,792.04296875,baseline,-0.07784777465535438,0.12709364531773412,-0.07784777465535438,0.12709364531773412
5D,8,backsel_uni_k2_trust,0.6039366784931242,0.0,0,990,198,0.7045356644754065,795.921875,trust_noise1,-0.13227325801617545,0.010049497525123744,-0.08689602767978494,0.05539723013849308
5D,8,backsel_uni_k4_trust,0.5857783139414464,0.0,0,1188,396,0.6693116615497274,797.14453125,trust_noise1,-0.11411489346449771,0.013399330033498325,-0.0687376631281072,0.20348982550872458
5D,8,backsel_is_k2_trust,0.6122755031690026,0.0,0,975.575,183.575,0.7150059060746571,793.60546875,trust_noise1,-0.14061208269205389,0.0023998800059997,-0.09523485235566334,0.06024698765061747
5D,8,backsel_is_k4_trust,0.5353838824403506,0.0,0,1110.425,318.425,0.6849062930501532,796.265625,trust_noise1,-0.0637204619634019,0.10504474776261187,-0.01834323162701138,0.648217589120544
5D,8,backsel_clust_k2_trust,0.7262144714985707,0.0,0,990,198,0.713695327800815,795.09375,trust_noise1,-0.25455105102162195,4.999750012499375e-05,-0.20917382068523144,0.000199990000499975
5D,8,backsel_clust_k4_trust,0.4628093086578645,0.0,0,1188,396,0.7021002690496971,794.296875,trust_noise1,0.008854111819084172,0.8173091345432728,0.0542313421554747,0.18184090795460228
5D,8,replay_cohort16_trust,0.5268447609999802,0.0,0,792,792,0.4908720019506291,772.109375,trust_noise1,-0.055181340523031475,0.14434278286085694,-0.009804110186640945,0.8114594270286486
5D,8,backsel_is_k4_cohort16_trust,0.5646857617003186,0.0,0,1108.75,316.75,0.6977305114996852,784.90625,replay_cohort16_trust,-0.037841000700338454,0.4145292735363232,-0.047645110886979404,0.20358982050897456
5D,8,backsel_clust_k4_cohort16_trust,0.5119481609497545,0.0,0,1188,396,0.6994707373989513,784.0234375,replay_cohort16_trust,0.01489660005022575,0.59962001899905,0.005092489863584801,0.9048047597620119
5D,32,baseline,0.4373973138277716,0.0,0,3168,3168,0.6112222164752893,772.171875,,,,,
5D,32,trust_noise1,0.43174442896200904,0.0,0,3168,3168,0.6174137046997202,771.84765625,baseline,0.0056528848657625055,0.17194140292985352,0.0056528848657625055,0.17194140292985352
5D,32,backsel_uni_k2,0.6799515707056709,0.0,2,3366,198,0.752925432624761,819.75,baseline,-0.24255425687789942,4.999750012499375e-05,-0.24255425687789942,4.999750012499375e-05
5D,32,backsel_uni_k4,0.5970456848388261,0.0,0,3564,396,0.7657548001501709,821.1796875,baseline,-0.15964837101105456,0.0002999850007499625,-0.15964837101105456,0.0002999850007499625
5D,32,backsel_is_k2,0.6893173025938399,0.0,0,3362.85,194.85,0.7647059423761675,820.640625,baseline,-0.25191998876606836,9.99950002499875e-05,-0.25191998876606836,9.99950002499875e-05
5D,32,backsel_is_k4,0.5635566227467235,0.0,0,3543.425,375.425,0.7709499523742125,820.9296875,baseline,-0.12615930891895186,0.0031998400079996,-0.12615930891895186,0.0031998400079996
5D,32,backsel_clust_k2,0.9286831234553949,0.0,0,3366,198,0.764745783273247,821.2578125,baseline,-0.4912858096276234,4.999750012499375e-05,-0.4912858096276234,4.999750012499375e-05
5D,32,backsel_clust_k4,0.4973394755827025,0.0,0,3564,396,0.7893322939256905,822.80078125,baseline,-0.05994216175493094,0.04539773011349432,-0.05994216175493094,0.04539773011349432
5D,32,backsel_uni_k2_trust,0.4746745582128532,0.0,0,3366,198,0.7268195683747762,822.765625,trust_noise1,-0.04293012925084414,0.12339383030848458,-0.037277244385081634,0.18504074796260186
5D,32,backsel_uni_k4_trust,0.5649813379302755,0.0,0,3564,396,2.9371584645996336,767.3125,trust_noise1,-0.13323690896826648,0.0017499125043747813,-0.127584024102504,0.0023498825058747065
5D,32,backsel_is_k2_trust,0.5392950808821144,0.0,0,3362.8,194.8,0.7283504658749734,829.890625,trust_noise1,-0.10755065192010535,0.006549672516374182,-0.10189776705434285,0.008099595020248988
5D,32,backsel_is_k4_trust,0.5322771208056951,0.0,0,3542.8,374.8,0.7385735264248069,830.2265625,trust_noise1,-0.10053269184368609,0.0055997200139993,-0.09487980697792359,0.010599470026498675
5D,32,backsel_clust_k2_trust,0.9161168445671869,0.0,0,3366,198,0.7359433032750531,826.68359375,trust_noise1,-0.48437241560517785,4.999750012499375e-05,-0.47871953073941537,4.999750012499375e-05
5D,32,backsel_clust_k4_trust,0.49158881415958156,0.0,0,3564,396,0.7096636183250666,829.3203125,trust_noise1,-0.059844385197572514,0.029398530073496326,-0.05419150033181001,0.05139743012849358
5D,32,replay_cohort64_trust,0.4342010654289628,0.0,0,3168,3168,0.7036574246012606,780.89453125,trust_noise1,-0.0024566364669537906,0.2978851057447128,0.0031962483988087153,0.3096845157742113
5D,32,backsel_is_k4_cohort64_trust,0.5362040933050143,0.0,0,3543.5,375.5,0.807928981774603,853.2265625,replay_cohort64_trust,-0.10200302787605148,0.0023998800059997,-0.09880677947724276,0.00359982000899955
5D,32,backsel_clust_k4_cohort64_trust,0.5507094982683602,0.0,0,3564,396,0.8926736964000156,839.08984375,replay_cohort64_trust,-0.11650843283939738,0.0011499425028748563,-0.11331218444058866,0.0024998750062496873
10D,8,baseline,0.6309358564707803,0.0,0,792,792,0.4959281268005725,778.66015625,,,,,
