setting,d,m,n,candidate,D,feat_seeds,x_draws,loss_rel_err,grad_cos,grad_norm_rel_err,seed_loss_cv,seed_grad_cos,wall_ms,wall_ratio_vs_ref,cost_model,cost_ratio_vs_cachedYY,peak_mem_mb,rss_mb
synth_d1,1,250,32,tab_kme_1d,2048,1,4,0.0015874951572005293,0.9992243965622976,0.0014838124817276581,0.0,1.0,0.15120813623070717,0.06633509706949867,6400,0.1182033096926714,0.057344,427.75
synth_d8,8,250,4,reference,,1,4,0.0,1.0,0.0,0.0,1.0,2.071416936814785,1.0765266327163534,838708,63.5,6.709664,427.796875
synth_d8,8,250,4,exact_cachedYY,,1,4,1.9003446897103074e-15,1.0000000000000002,3.4663324436369304e-16,0.0,1.0,0.15041721053421497,0.07817264128774669,13208,1.0,0.104,427.796875
synth_d8,8,250,4,rff,16,6,4,0.1943731660335028,0.4794688926365646,1.8066132167545297,0.20674943131931575,0.2688896793815154,0.06979098543524742,0.03627075419210056,1680,0.12719563900666264,0.005376,427.84375
synth_d8,8,250,4,rff,64,6,4,0.0936509404697828,0.693390929235254,0.536938335949485,0.09977244804137977,0.5234057049898302,0.07020914927124977,0.036488076208877916,6720,0.5087825560266506,0.020736,427.84375
synth_d8,8,250,4,rff,256,6,4,0.04762862014532058,0.8800001532623943,0.1675528306116179,0.0423135083002935,0.7701319572052853,0.16062497161328793,0.08347767016277613,26880,2.0351302241066023,0.082176,427.84375
synth_d8,8,250,4,rff,1024,6,4,0.022640248130092223,0.962298365553158,0.051354941916940296,0.029021126186446065,0.930311364530712,0.25333394296467304,0.13165902611179692,107520,8.140520896426409,0.327936,432.953125
synth_d8,8,250,4,nystrom,16,6,4,0.24977678995691383,0.88599857838614,0.2840513675041104,0.01357650398483407,0.9103190302177312,0.157209113240242,0.08170243001347735,5952,0.4506359781950333,0.004608,433.0
synth_d8,8,250,4,nystrom,64,6,4,0.1963861126267905,0.9313348746277037,0.24295494899744718,0.005073992644190847,0.9856585252414473,0.20275008864700794,0.10537032228274272,85248,6.454270139309509,0.043008,433.671875
synth_d8,8,250,4,subsample,16,6,4,0.3224220675481028,0.940183465506373,0.10540808836242858,0.4160828284733183,0.8732491645660118,0.09870785288512707,0.05129900726431512,1040,0.07874015748031496,0.00256,433.671875
synth_d8,8,250,4,subsample,64,6,4,0.0978604470921691,0.9911308374689672,0.02405700658068902,0.12914949071505244,0.9804844806023013,0.12091686949133873,0.06284115382018467,3536,0.2677165354330709,0.01024,433.671875
synth_d8,8,250,4,sliced_w2,32,6,4,6.514649086149424,0.6699093299681547,10.069849980293435,0.15464793244410394,0.7459790940954624,0.045584049075841904,0.023690277889033634,1280,0.09691096305269534,0.065024,433.71875
synth_d8,8,250,4,population_gmm,,1,4,0.002680031818148934,0.9977281369816506,0.005485315003143577,0.0,1.0,0.5773750599473715,0.300064954598333,2768,0.20956995760145367,0.023168,433.71875
synth_d8,8,250,8,reference,,1,4,0.0,0.9999999999999999,0.0,0.0,1.0,1.919624861329794,0.9247675217582765,865332,32.25,6.922656,434.40625
synth_d8,8,250,8,exact_cachedYY,,1,4,1.5075742309726472e-14,0.9999999999999998,3.7430008077934357e-16,0.0,1.0,0.18041697330772877,0.0869147720734033,26832,1.0,0.208,434.40625
synth_d8,8,250,8,rff,16,6,4,0.22325340724892792,0.5229831174511378,1.3885727268976795,0.2356419869496083,0.2913319684962062,0.07004104554653168,0.03374184478239929,3280,0.12224209898628503,0.010752,434.40625
synth_d8,8,250,8,rff,64,6,4,0.12179660330614928,0.7539295933270386,0.38226881885620845,0.13063423497262658,0.5720715369536277,0.08204090408980846,0.039522703152210466,13120,0.48896839594514013,0.041472,434.40625
synth_d8,8,250,8,rff,256,6,4,0.05682003420370326,0.894033109456232,0.13458493564208865,0.05075377406550368,0.7983940023729489,0.20287511870265007,0.09773384609068878,52480,1.9558735837805605,0.164352,434.40625
synth_d8,8,250,8,rff,1024,6,4,0.02849098760254468,0.9678362489354934,0.058053662407725415,0.03561814737976444,0.9397833381254409,0.3958330489695072,0.19069014738222087,209920,7.823494335122242,0.655872,439.296875
synth_d8,8,250,8,nystrom,16,6,4,0.3197966060130407,0.892471836021432,0.3192005995293156,0.04112078894870538,0.8953500768847857,0.16808300279080868,0.08097295730628758,11904,0.44364937388193204,0.007168,439.296875
synth_d8,8,250,8,nystrom,64,6,4,0.20533525668248173,0.9416918610186791,0.24720321043027,0.0057804671322381025,0.9903179932349476,0.21637510508298874,0.10423738185968685,170496,6.354203935599284,0.053248,439.515625
synth_d8,8,250,8,subsample,16,6,4,0.45918882910584846,0.8806898812459989,0.1405091886943593,0.5444416721240106,0.7684287570304383,0.1055421307682991,0.05084427519034917,2496,0.09302325581395349,0.00512,439.515625
synth_d8,8,250,8,subsample,64,6,4,0.17249818245241574,0.9805869915305233,0.042603835973737764,0.22344052415014506,0.9574623908035872,0.15441607683897018,0.07438899942100563,7488,0.27906976744186046,0.02048,439.515625
synth_d8,8,250,8,sliced_w2,32,6,4,6.362016289179692,0.7198630728023755,7.0421413398187225,0.11778808010645948,0.7356998321783086,0.05345791578292847,0.025753023568727485,2816,0.10494931425163984,0.066048,439.515625
synth_d8,8,250,8,population_gmm,,1,4,0.02829291165338405,0.9941010172604848,0.01376567297676225,0.0,1.0,0.5896659567952156,0.2840679637546383,5952,0.22182468694096602,0.047616,439.546875
synth_d8,8,250,32,reference,,1,4,0.0,0.9999999999999999,0.0,0.0,1.0,2.5447080843150616,1.0958924081132695,1033812,8.8125,8.270496,443.3125
synth_d8,8,250,32,exact_cachedYY,,1,4,5.2937828650508895e-14,1.0,6.375689818420357e-16,0.0,1.0,0.44066598638892174,0.18977520917781382,117312,1.0,0.832,443.328125
synth_d8,8,250,32,rff,16,6,4,0.2463884235707199,0.5239053056369712,1.4130049577409098,0.24744054834247256,0.31454774063338103,0.08929101750254631,0.03845366342681619,12880,0.10979268957992362,0.043008,443.328125
synth_d8,8,250,32,rff,64,6,4,0.12948025273917002,0.7408353614375717,0.3749188796777814,0.1373477156513333,0.5613470216197891,0.2143331803381443,0.09230375247641304,51520,0.4391707583196945,0.165888,443.328125
synth_d8,8,250,32,rff,256,6,4,0.05199603134661137,0.8970001990859864,0.1251908319563705,0.04331112597117175,0.8076073379512604,0.376666896045208,0.1622136520522117,206080,1.756683033278778,0.657408,443.328125
synth_d8,8,250,32,rff,1024,6,4,0.027561290409277017,0.9667139837825295,0.05314896939972996,0.02793856317159496,0.9384206976057361,1.1571249924600124,0.49832218567277115,824320,7.026732133115112,2.623488,445.921875
synth_d8,8,250,32,nystrom,16,6,4,0.2889443320475274,0.901114609330461,0.29383228373356884,0.02169170458813997,0.9348079598205724,0.20412495359778404,0.08790752398403144,47616,0.40589198036006546,0.022528,445.921875
synth_d8,8,250,32,nystrom,64,6,4,0.19560615364555972,0.9415978422309875,0.23371491326845772,0.004358563763338934,0.9923493188066201,0.2503329887986183,0.10780726623051984,681984,5.81342062193126,0.114688,446.1875
synth_d8,8,250,32,subsample,16,6,4,1.0716045693774188,0.8164743211918551,0.18388977940843532,2.4143929229198338,0.6642949109146894,0.18916605040431023,0.08146539078043384,19968,0.1702127659574468,0.02048,446.1875
synth_d8,8,250,32,subsample,64,6,4,0.3515662933694082,0.9645924685675517,0.04391918271308574,0.5121026983026123,0.9242376511640193,0.21895789541304111,0.09429541123346476,39936,0.3404255319148936,0.08192,446.1875
