setting,n,spatial,temporal,candidate,restarts,offset,base_score,cand_score,diff,ci_lo,ci_hi,wins,perm_p,base_success,cand_success,base_div,cand_div,calls,calls_match,mmd_diff,mmd_ci_lo,mmd_ci_hi,mmd_p,screening_diff,s_per_run
2D,8,no_lgd,none,relclip_ema2,100,1000,0.41760997660823085,0.15230820067992148,0.2653017759283094,0.20102327589379193,0.3316532068781538,83,4.999750012499375e-05,0.4,0.82,0,0,792,True,0.21439088344573975,0.1404886245727539,0.2915911650657654,4.999750012499375e-05,0.19866985212465818,0.6277439725003205
2D,8,no_lgd,none,sqrt_floor,100,1000,0.41760997660823085,0.2989373142837154,0.11867266232451547,0.036483218342805386,0.20148827631629163,64,0.006049697515124244,0.4,0.58,0,0,792,True,0.13026447057724,0.03912988662719727,0.22352960586547851,0.007699615019249037,0.0069833841225024895,0.6240710867196322
2D,8,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.41760997660823085,0.2056305041906294,0.21197947241760148,0.14724161866282268,0.2796978024629564,70,4.999750012499375e-05,0.4,0.69,0,0,792,True,0.20596824169158937,0.13264619827270507,0.28268664360046386,4.999750012499375e-05,0.14862319320087364,0.6382590332487598
2D,8,no_lgd,none,trust_noise1,100,1000,0.41760997660823085,0.16725177335370695,0.2503582032545239,0.18332023825977775,0.3200831951589371,76,4.999750012499375e-05,0.4,0.8,0,0,792,True,0.20803253412246703,0.13524133920669557,0.28609352111816405,4.999750012499375e-05,0.2001058547724537,0.6246611748402938
2D,16,no_lgd,none,clip0.5,100,1000,0.2818760615646729,0.2277844025004306,0.05409165906424225,0.020529558823106073,0.09203730550156008,58,0.0028998550072496373,0.48,0.56,0,0,1584,True,0.08718450307846069,0.03770886421203613,0.14399449348449708,0.0019499025048747563,0.05276703436194449,0.7175176919205114
2D,16,no_lgd,none,relclip1,100,1000,0.2818760615646729,0.2007929732866955,0.08108308827797736,0.02759311421055455,0.13345378654360673,75,0.0028998550072496373,0.48,0.8,0,0,1584,True,0.05822828531265259,0.004227142333984375,0.11769023656845093,0.046747662616869155,0.06666321751530585,0.7160482654091902
2D,16,no_lgd,none,relclip2,100,1000,0.2818760615646729,0.16769175574016212,0.11418430582451074,0.07713045067235431,0.1540442726275908,78,4.999750012499375e-05,0.48,0.85,0,0,1584,True,0.08673551082611083,0.03687965154647827,0.1441767168045044,0.00119994000299985,0.11309360581565833,0.7313077688380144
2D,16,no_lgd,none,relclip_ema2,100,1000,0.2818760615646729,0.16414125186857548,0.11773480969609737,0.08232411139332645,0.15677472566584247,79,4.999750012499375e-05,0.48,0.83,0,0,1584,True,0.08955010175704955,0.039825189113616946,0.14651853799819947,0.0004999750012499375,0.10791607683125645,0.7172548877610825
2D,16,no_lgd,none,sqrt_floor,100,1000,0.2818760615646729,0.23293191072298391,0.04894415084168894,-0.0019286176922512005,0.10016338985334451,65,0.060446977651117444,0.48,0.67,0,0,1584,True,0.034586706161499024,-0.028502354621887206,0.10097457647323609,0.30353482325883707,0.03233283980247231,0.7148618835094385
2D,16,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.2818760615646729,0.2161131507166547,0.06576291084801815,0.021636672209784637,0.11030126446789891,69,0.0030498475076246186,0.48,0.71,0,0,1584,True,0.06428520917892457,0.006208820343017578,0.1276092290878296,0.036348182590870456,0.061768587348860926,0.7283637822489254
2D,16,no_lgd,none,trust_noise1,100,1000,0.2818760615646729,0.19156250638225011,0.09031355518242275,0.052654096840677095,0.13187014101010341,68,4.999750012499375e-05,0.48,0.74,0,0,1584,True,0.08587589502334594,0.03531460762023926,0.14391036987304687,0.0022998850057497125,0.09421105285158277,0.7164736169786192
