commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081+P,precond_diag,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.961187081993558,789.37109375,,792,792,,0.6571519318292406,ok
6af2081+P,precond_diag,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.651066894992255,782.8828125,,3168,3168,,0.5026791685191434,ok
6af2081+P,precond_diag_trust,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.13172287819907,773.05859375,,396,396,,0.6190990932334675,ok
6af2081+P,precond_diag_trust,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,24.797933442983776,784.9453125,,792,792,,0.5569267479028593,ok
6af2081+P,precond_diag_trust,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.63364355498925,784.8125,,3168,3168,,0.47725546227129845,ok
6af2081+P,precond_sign,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.474474078044295,774.25390625,,396,396,,0.693695034715231,ok
6af2081+P,precond_sign,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.36629404197447,781.6796875,,792,792,,0.6173007013636194,ok
6af2081+P,precond_sign,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.35763564100489,785.44140625,,3168,3168,,0.5252949814060397,ok
6af2081+P,precond_sign_trust,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.32279708236456,770.2421875,,396,396,,0.6187997029731006,ok
6af2081+P,precond_sign_trust,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.45533503801562,781.7578125,,792,792,,0.5840856065730227,ok
6af2081+P,precond_sign_trust,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.94801600696519,785.06640625,,3168,3168,,0.4784095441834143,ok
6af2081+P,precond_median,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.09595059696585,774.6484375,,396,396,,0.7153158503510291,ok
6af2081+P,precond_median,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,22.71432296099374,785.11328125,,792,792,,0.712684515840171,ok
6af2081+P,precond_median,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.79613348399289,788.12890625,,3168,3168,,0.631267849888393,ok
6af2081+P,precond_median_trust,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.58762015076354,771.921875,,396,396,,0.594455755506047,ok
6af2081+P,precond_median_trust,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.327034101996105,783.5859375,,792,792,,0.5673630995895481,ok
6af2081+P,precond_median_trust,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.010829311911948,785.3828125,,3168,3168,,0.5804532403102265,ok
