setting,n,candidate,score,success,diverged,cm_samples,seconds_per_run
5D,32,replay30_trust,0.4495960632419022,0.0,0,2178,0.7948295455251355
5D,32,replay_geo0.5d3_trust,0.4600455088220124,0.0,0,1683,0.7771771769737825
5D,32,replay30_aug_trust,0.4355725549465569,0.0,0,3168,0.8031733634998091
5D,32,replay_geo0.7d5_trust,0.488849592749403,0.0,0,1089,0.6694311431841925
10D,4,baseline,0.6206993090400891,0.0,0,396,0.6459242072189226
10D,4,trust_noise1,0.6301650265754801,0.0,0,396,0.6520293208537623
10D,4,replay30,0.6585621006843734,0.0,0,297,0.605329577473458
10D,4,replay_geo0.3d3,0.6585621006843734,0.0,0,297,0.5758743467275054
10D,4,replay_geo0.5d3,0.7477381379656345,0.0,0,198,0.6627991219982505
10D,4,replay_geo0.7d5,0.6699962205676758,0.0,0,99,0.6412744975532405
10D,4,replay30_aug,0.6743152369316341,0.0,0,396,0.709488558024168
10D,4,replay_geo0.5d3_aug,0.6990577477834057,0.0,0,396,0.6966756945708766
10D,4,replay_w30,0.6895067185050061,0.0,0,297,0.67307092952542
10D,4,replay_wgeo0.5d3,0.6987129992463543,0.0,0,198,0.6840747290989384
10D,4,replay30_trust,0.6609790924561987,0.0,0,297,0.6946510663023219
10D,4,replay_geo0.5d3_trust,0.7046877923456496,0.0,0,198,0.6881650548777543
10D,4,replay30_aug_trust,0.6174812303745784,0.0,0,396,0.5669475937262177
10D,4,replay_geo0.7d5_trust,0.6241543884919141,0.0,0,99,0.5431828164495528
10D,8,baseline,0.6151114031947583,0.0,0,792,0.761302244104445
10D,8,trust_noise1,0.521515796969374,0.0,0,792,0.7200980411143973
10D,8,replay30,0.7134316485200255,0.0,0,594,0.7691676293965429
10D,8,replay_geo0.3d3,0.7134316485200255,0.0,0,594,0.6827195819001645
10D,8,replay_geo0.5d3,0.6813595866249184,0.0,0,396,0.7140383351244963
10D,8,replay_geo0.7d5,0.6749155571311114,0.0,0,297,0.6943907124688848
10D,8,replay30_aug,0.6291058774321072,0.0,0,792,0.7387261685566046
10D,8,replay_geo0.5d3_aug,0.5549794005344381,0.0,0,792,0.7013055537943729
10D,8,replay_w30,0.6825238464470987,0.0,0,594,0.6477918206714094
10D,8,replay_wgeo0.5d3,0.6819212834890946,0.0,0,396,0.7035574328503571
10D,8,replay30_trust,0.5357749243219188,0.0,0,594,0.6717045562807471
10D,8,replay_geo0.5d3_trust,0.6318245752990319,0.0,0,396,0.6015608192770742
10D,8,replay30_aug_trust,0.5236613422601023,0.0,0,792,0.5894193893749616
10D,8,replay_geo0.7d5_trust,0.5982429943072157,0.0,0,297,0.7878147868730594
10D,32,baseline,0.4935145086512146,0.0,0,3168,0.8510357427498093
10D,32,trust_noise1,0.45591435334749714,0.0,0,3168,0.6721984447765863
10D,32,replay30,0.5240990288509909,0.0,0,2178,0.6721200164000039
10D,32,replay_geo0.3d3,0.5446789047535869,0.0,0,2178,0.8103064026334323
10D,32,replay_geo0.5d3,0.5190606534112192,0.0,0,1683,0.7988280968274921
10D,32,replay_geo0.7d5,0.5232251055683717,0.0,0,1089,0.7555056394310669
10D,32,replay30_aug,0.5387294829373864,0.0,0,3168,0.8771163044963032
10D,32,replay_geo0.5d3_aug,0.5502392341728592,0.0,0,3168,0.8328787373728119
10D,32,replay_w30,0.5539683304824863,0.0,0,2178,0.8243568758945912
10D,32,replay_wgeo0.5d3,0.5390892653210256,0.0,0,1683,0.7207729248002579
10D,32,replay30_trust,0.4894484839684912,0.0,0,2178,0.7359516694748891
10D,32,replay_geo0.5d3_trust,0.5003903466068161,0.0,0,1683,0.7128984850496636
10D,32,replay30_aug_trust,0.5331063566025777,0.0,0,3168,0.6864383027750591
10D,32,replay_geo0.7d5_trust,0.5051730005461943,0.0,0,1089,0.8055543253722135
