setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
dimy8,mid,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,mid,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,mid,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,mid,kcenter_mean2,8,7.86875,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,mid,kcenter_mean2,16,15.74375,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,mid,kcenter_mean2,32,31.25,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,mid,kcenter_mean2,64,58.16875,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,late,uniform,8,8.0,1.0,-1.0,0.8916666666666666,0.980648460017748,0.9162714198478755,0.037165640542904534,0.3753349184989929,0.6537287831306458,0.9379457496106625,True
dimy8,late,uniform,16,16.0,1.0,1.0,0.9416666666666668,0.9872844679034183,0.9615875708152356,0.01945390257363518,0.23125637571016947,0.4334004521369934,0.722504353771607,True
dimy8,late,uniform,32,32.0,1.0,1.0,0.9166666666666666,0.9961541376617427,0.9801091756411356,0.009671656434269002,0.24467485149701437,0.290776789188385,0.48572409835954505,True
dimy8,late,uniform,64,64.0,1.0,1.0,0.975,0.9984878731802197,0.9929418326015992,0.0027526604826562107,0.1221158504486084,0.18901808559894562,0.31744389918943244,True
dimy8,late,importance,8,7.75,1.0,-1.0,0.8166666666666668,0.9792142474923615,0.9186395830569576,0.03119064774364233,0.5490135252475739,0.6469939351081848,1.0936125665903091,True
dimy8,late,importance,16,15.108333333333334,1.0,-1.0,0.8833333333333333,0.9874374003550017,0.9613077810697379,0.017367268136392038,0.3077934980392456,0.5049090385437012,0.6654373848189911,True
dimy8,late,importance,32,28.275000000000002,1.0,1.0,0.9416666666666668,0.9943151145950279,0.9745199716972939,0.008619577080632249,0.31393054127693176,0.44426411390304565,0.5660101634760698,True
dimy8,late,importance,64,50.050000000000004,1.0,1.0,0.9666666666666667,0.9969441282216364,0.9895221309517451,0.004669073096010834,0.1367971102396647,0.2845390737056732,0.4182668762902419,True
dimy8,late,kcenter,8,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.960464477539063e-08,1.0192178952668959e-08,True
dimy8,late,kcenter,16,16.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.960464477539063e-08,1.0192178952668959e-08,True
dimy8,late,kcenter,32,32.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.960464477539063e-08,1.0192178952668959e-08,True
dimy8,late,kcenter,64,64.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.960464477539063e-08,1.0192178952668959e-08,True
dimy8,late,kcenter_mean2,8,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.960464477539063e-08,1.0192178952668959e-08,True
dimy8,late,kcenter_mean2,16,15.916666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.960464477539063e-08,1.0192178952668959e-08,True
dimy8,late,kcenter_mean2,32,31.349999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.960464477539063e-08,1.0192178952668959e-08,True
dimy8,late,kcenter_mean2,64,57.666666666666664,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.960464477539063e-08,1.0192178952668959e-08,True
dimy8,all,uniform,8,8.0,1.0,1.0,0.9431818181818182,0.9833240395943927,0.9031597579309752,0.0353932095405815,0.23201827027580954,0.2262677699327469,0.544320054733279,True
dimy8,all,uniform,16,16.0,1.0,1.0,0.9613636363636363,0.9913849788039403,0.958817746701205,0.018444880460844037,0.13674430142749439,0.20886142551898956,0.4046982512809336,True
dimy8,all,uniform,32,32.0,1.0,1.0,0.9681818181818183,0.9968754539185359,0.9803327277534785,0.009723464431854982,0.10403780774636702,0.10523645579814911,0.2627946241462434,True
dimy8,all,uniform,64,64.0,1.0,1.0,0.9863636363636363,0.9988093356510586,0.993693958260271,0.0021989925532001175,0.06660864569924095,0.05536004155874252,0.1758609161902727,True
