commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081,baseline,synthetic_5D,S_G250_seed987654,2,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1837,330.6,99,99,792,1.36631,1.07845,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,3,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1846,330.6,99,99,792,0.295959,0.39941,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,4,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1831,330.6,99,99,792,0.469949,1.07708,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2103,327.4,99,99,3168,0.291407,0.412339,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,1,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2117,327.4,99,99,3168,0.148823,0.418124,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,2,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2125,327.4,99,99,3168,0.317219,0.471002,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,3,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2119,327.4,99,99,3168,0.214296,0.417196,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,4,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2126,327.4,99,99,3168,0.227454,0.442372,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1849,322.1,99,99,792,0.356625,0.395735,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,1,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1849,322.1,99,99,792,0.48089,0.568048,ok
